PWGTP,HISP,CIT,POWSP,RAC1P,SEX
257,1,1,6,1,2
44,1,1,6,1,2
59,2,1,6,1,2
64,2,1,6,1,1
113,1,1,6,1,1
159,1,1,6,1,1
109,1,5,6,1,1
98,1,1,6,1,1
110,1,1,6,1,2
114,1,1,6,1,1
64,1,1,6,1,1
110,2,5,4,8,1
72,1,1,6,1,2
46,1,1,6,1,1
75,1,4,6,9,1
86,1,1,6,2,1
280,1,1,6,1,1
79,1,1,6,1,1
78,1,1,6,1,1
113,1,1,6,1,1
132,1,1,5,1,2
79,1,1,5,1,1
127,1,1,6,1,1
127,1,1,6,1,2
158,2,4,6,1,2
157,2,5,6,1,1
162,1,1,1,1,2
146,1,1,1,1,1
108,2,4,6,1,1
203,2,5,6,1,2
141,2,5,6,1,1
106,1,1,6,1,2
99,1,1,6,1,1
311,1,1,2,1,2
63,1,1,6,1,1
73,1,1,4,1,1
482,1,1,1,1,1
98,19,4,4,1,1
69,2,1,6,9,1
71,1,1,6,1,2
70,1,1,6,1,1
53,1,1,6,1,2
93,1,1,6,1,2
145,1,1,6,1,2
31,1,1,4,3,1
73,1,1,6,2,2
82,1,1,6,1,1
99,1,1,6,1,1
146,1,1,2,1,1
157,2,5,2,1,2
56,1,5,6,6,2
152,1,1,6,1,1
27,2,1,6,1,2
438,1,1,2,4,2
478,1,1,2,4,2
268,1,1,2,1,1
56,1,1,6,1,2
55,2,1,6,1,1
98,1,1,4,1,2
98,1,1,4,1,2
320,1,1,6,1,1
544,1,1,6,6,2
201,1,1,6,1,2
233,1,1,6,1,1
75,1,1,6,1,2
74,1,1,6,1,1
42,1,4,6,6,1
24,1,1,4,3,2
29,1,1,4,3,2
64,1,1,6,1,2
70,1,1,6,1,2
86,24,1,6,1,2
62,1,4,6,6,2
81,1,4,6,6,1
44,1,1,4,1,2
162,1,1,6,1,2
124,1,1,6,1,1
34,1,1,4,1,1
45,1,2,4,1,2
56,1,1,4,1,1
42,1,1,4,1,2
161,1,1,6,1,2
53,1,1,6,1,1
44,1,1,6,1,1
99,11,4,6,3,2
71,11,5,6,3,2
77,1,1,6,1,2
130,7,1,6,1,2
155,17,5,6,1,1
32,2,1,6,8,2
111,1,1,6,1,2
153,1,1,6,1,1
37,1,1,5,2,1
41,1,1,6,1,1
167,1,1,4,1,1
132,1,1,4,1,1
71,1,1,6,1,2
59,1,1,6,2,2
98,1,1,1,2,2
79,1,1,6,1,1
117,2,5,6,1,1
64,1,1,6,1,2
118,1,1,1,1,1
167,1,1,1,2,1
125,1,1,1,2,2
102,2,1,4,1,2
59,3,1,6,8,1
72,2,1,6,1,2
197,1,1,5,1,1
229,1,1,5,1,2
160,2,5,6,1,1
523,1,1,1,1,2
20,1,1,6,1,2
133,1,1,6,1,1
32,1,4,4,1,2
13,1,1,6,1,1
14,1,1,6,1,2
69,2,4,4,1,1
61,2,4,4,1,2
133,2,1,6,8,2
87,1,4,6,6,2
99,1,4,6,6,1
135,1,4,6,6,1
124,1,4,6,6,2
84,1,4,6,6,2
93,2,4,6,8,1
78,2,5,6,8,2
129,2,5,6,8,2
164,2,1,6,8,1
62,1,1,6,1,1
65,1,1,6,1,2
61,1,1,5,1,2
77,1,1,5,1,1
52,1,1,2,1,1
107,11,1,6,1,1
82,1,1,6,1,2
92,2,4,6,8,2
84,2,4,6,8,2
218,1,1,6,1,1
287,1,1,6,1,1
71,1,1,1,1,1
35,1,1,6,1,2
31,2,1,6,1,1
73,2,5,6,8,1
