PWGTP,RAC1P,POWSP,HISP,SEX,CIT,WAOB,COW,SOCP
61,6,6,1,2,4,4,1,15113X
68,1,6,1,1,1,1,3,15113X
131,1,42,1,1,1,1,2,151199
82,1,26,1,1,1,1,1,172070
74,9,6,1,1,1,1,1,151131
146,1,51,1,1,1,1,4,151142
65,1,48,1,1,1,1,1,151199
258,1,36,1,1,5,5,1,172070
313,1,34,1,1,4,5,1,151142
58,1,36,1,1,1,1,6,151134
102,1,6,1,2,1,1,2,151134
63,1,6,2,1,5,3,1,151150
52,1,6,1,1,1,1,7,15113X
75,6,25,1,1,4,4,1,15113X
86,1,29,1,2,1,1,1,151121
87,1,1,1,1,1,1,2,151150
47,2,12,1,1,4,3,1,151143
222,1,8,1,2,1,1,1,151121
66,1,25,1,1,4,5,1,151134
106,1,6,1,1,1,1,1,151150
114,9,1,1,2,1,1,1,151150
61,1,48,1,1,1,1,1,15113X
152,1,23,1,1,1,1,1,151121
52,1,48,24,1,1,1,1,151199
110,1,13,1,1,1,1,5,151121
100,1,11,1,2,1,1,5,15113X
86,1,12,24,1,4,3,1,151121
33,1,22,1,1,1,1,1,151150
100,1,26,1,2,1,1,1,151121
81,1,49,1,1,1,1,1,151199
68,1,37,1,1,1,1,1,151143
88,1,55,1,2,1,1,1,151199
107,1,11,1,1,1,1,5,151199
139,1,24,1,1,1,1,1,15113X
101,6,41,1,1,1,1,1,151199
53,6,41,1,2,4,4,1,151199
77,1,48,2,1,1,1,1,151121
449,6,12,1,1,5,4,1,151131
385,6,12,1,2,5,4,1,15113X
84,6,6,1,1,1,1,1,15113X
61,6,6,1,1,4,4,1,15113X
85,1,5,1,2,1,1,1,151142
132,6,6,1,2,5,4,1,15113X
147,6,6,1,1,5,4,1,15113X
90,1,16,1,1,1,1,1,15113X
67,1,25,1,2,1,1,6,151134
86,1,36,1,2,1,1,4,151199
272,2,48,1,1,1,1,1,151150
75,1,42,1,1,1,1,1,15113X
75,1,41,1,2,1,1,1,172070
69,1,48,1,1,1,1,1,151121
180,1,47,1,2,1,1,1,151199
28,2,12,1,1,5,3,1,151150
