PWGTP,HISP,POWSP,RAC1P,WAOB,CIT,SEX,SOCP
85,1,48,1,1,1,1,172061
64,1,37,1,4,4,1,15113X
66,1,12,1,1,1,1,151131
154,1,55,1,1,1,1,151150
118,1,51,1,1,1,2,151131
65,1,51,1,1,1,1,151141
58,1,24,1,1,1,1,151199
102,1,51,1,1,1,1,151131
67,1,51,1,1,1,2,113021
254,1,24,2,1,1,1,113021
195,1,36,1,1,1,1,15113X
85,1,21,1,1,1,1,151142
123,1,26,1,1,1,1,151199
157,1,48,7,1,1,1,151131
91,1,6,6,1,1,2,15113X
86,1,6,6,1,1,1,151134
67,1,24,1,1,1,1,15113X
94,1,1,1,1,1,1,15113X
63,1,36,1,1,1,1,151199
93,1,37,1,1,1,1,151199
188,1,48,1,1,1,1,151150
80,1,36,1,1,1,1,151150
68,1,54,1,1,1,2,113021
127,1,8,1,1,1,1,15113X
185,1,37,9,1,1,1,151121
82,1,25,1,5,4,1,151121
75,1,24,1,5,3,2,151141
63,1,34,1,1,1,1,15113X
91,1,20,1,1,1,2,151121
67,1,41,1,1,1,1,151134
83,1,6,6,4,4,2,15113X
86,1,6,6,4,4,1,151122
203,1,37,2,1,1,2,151121
97,1,26,1,1,1,1,151131
11,1,1,6,4,5,1,151141
86,1,6,6,4,4,1,151150
119,1,51,6,4,4,1,151143
84,1,37,1,1,1,1,151142
67,1,13,6,4,4,1,113021
53,1,13,6,4,4,2,15113X
440,1,26,1,1,1,1,113021
97,1,51,1,1,1,2,113021
71,1,36,1,1,1,1,151150
92,1,39,6,4,4,2,15113X
31,1,27,1,1,1,1,113021
126,1,36,1,1,1,1,151131
94,1,48,1,1,1,2,151143
69,1,9,1,1,1,1,151150
87,1,39,1,1,1,1,15113X
71,1,8,1,1,1,1,15113X
84,1,29,1,1,1,1,113021
78,1,6,6,4,4,2,113021
85,1,17,1,1,1,2,151131
116,1,17,1,1,1,1,151141
104,1,6,1,1,1,1,15113X
103,1,39,1,1,1,2,151131
91,1,6,1,1,1,1,151131
57,1,13,1,1,1,1,151121
311,1,29,1,1,1,1,151131
96,1,6,1,1,1,2,151111
35,1,28,1,1,1,1,113021
57,1,4,1,1,1,1,151121
111,1,48,1,1,1,1,151199
91,1,13,1,1,1,1,151142
62,1,8,1,1,1,2,151141
146,1,4,6,1,1,2,151134
57,1,6,1,1,1,2,151131
56,1,48,2,1,1,2,151121
82,4,6,8,1,1,1,151131
109,1,26,1,1,1,1,151122
220,1,6,1,1,1,1,15113X
69,2,48,8,1,1,1,15113X
98,1,17,1,5,4,2,151134
45,2,8,1,1,1,2,151131
69,1,48,1,1,1,1,151122
76,1,6,1,1,1,1,151199
85,1,6,1,1,1,1,151121
83,1,29,2,1,1,1,151150
88,1,17,1,1,1,2,113021
61,1,6,1,1,1,2,151150
71,1,47,1,1,1,1,151199
61,1,41,1,1,1,1,151134
69,1,48,1,1,1,2,151142
41,1,48,1,1,1,1,151141
64,1,48,1,5,4,1,151150
82,1,25,1,1,1,1,151121
325,3,12,1,5,3,1,151131
40,1,36,1,1,1,1,151134
134,1,33,1,1,1,2,151121
75,1,48,1,1,1,1,15113X
92,1,48,1,1,1,1,151131
109,1,42,1,1,1,1,151150
159,1,25,1,1,1,2,151150
90,1,34,1,1,1,1,113021
22,1,13,1,1,1,1,151142
66,1,51,1,1,1,2,15113X
81,1,37,6,4,4,1,151131
94,1,37,6,4,4,2,151131
64,1,4,6,4,4,1,15113X
16,1,37,1,1,1,1,151131
97,1,6,6,1,1,1,151142
60,1,25,1,1,1,1,151131
220,1,50,1,1,1,1,113021
144,1,9,1,1,1,1,151199
105,1,41,1,1,1,1,151131
81,1,39,6,4,3,1,151111
55,1,6,6,4,4,1,15113X
22,1,42,1,1,1,1,151142
80,1,6,1,1,1,2,151131
203,1,48,8,4,5,1,15113X
83,1,37,1,1,1,1,151131
88,1,54,1,1,1,1,151143
171,2,39,1,1,1,1,151143
75,1,37,1,7,3,1,151142
121,1,26,1,5,5,1,151131
341,1,40,1,1,1,2,15113X
73,1,51,1,1,1,1,151142
105,1,39,1,1,1,1,151131
19,1,25,1,1,1,1,151142
91,1,18,1,1,1,1,15113X
29,1,31,1,1,1,1,151141
60,1,12,1,5,5,2,113021
80,1,6,6,4,4,2,113021
129,1,55,1,1,1,1,113021
62,1,12,1,1,1,1,151150
125,1,4,1,1,1,2,151199
93,1,51,6,4,4,1,151131
111,1,48,6,4,4,1,151122
56,1,26,1,1,1,1,151142
59,1,11,1,1,1,2,15113X
75,1,6,1,4,4,1,151150
209,1,6,1,1,1,1,15113X
195,1,6,6,4,4,2,15113X
187,1,6,1,4,4,1,113021
100,1,36,1,1,1,1,113021
80,1,17,6,4,4,1,15113X
80,1,13,2,6,4,1,151150
69,1,53,1,1,1,2,113021
54,1,12,1,1,1,1,151199
69,1,12,6,4,4,1,15113X
113,1,48,1,1,1,2,151121
52,1,36,9,3,4,1,151131
200,1,37,1,1,1,1,151131
90,2,48,9,1,1,1,151150
97,1,48,1,5,3,1,151150
109,1,13,9,4,4,2,151199
69,1,48,2,1,1,1,151142
86,1,48,1,1,1,1,151150
129,1,34,6,4,4,1,15113X
72,1,39,1,3,4,1,172061
69,1,34,1,1,1,2,151131
58,1,6,6,4,4,1,172061
85,1,6,6,4,5,1,15113X
118,1,29,1,1,1,1,151122
283,1,11,6,4,5,1,151150
174,10,6,1,3,5,1,113021
68,1,12,1,1,1,2,151150
151,1,42,1,1,1,1,151199
64,2,6,6,1,1,1,151134
64,1,12,1,5,5,1,15113X
69,1,48,6,4,4,1,15113X
71,1,48,1,1,1,1,151121
89,1,48,1,1,1,1,151121
90,1,36,1,1,1,1,113021
91,1,48,1,5,4,1,113021
54,1,42,1,1,1,2,151134
91,1,6,1,1,1,1,151121
68,1,27,6,4,4,2,151121
151,1,47,1,1,1,1,151142
59,1,49,1,1,1,1,151121
90,1,39,1,1,1,1,151122
51,1,37,1,1,1,1,151150
86,1,48,6,4,4,1,113021
75,1,4,1,1,1,1,151199
193,1,4,1,1,1,1,151121
327,1,5,1,1,1,2,113021
63,1,24,1,1,1,1,151121
56,1,12,9,1,1,2,151121
51,1,13,1,1,1,1,15113X
67,1,19,1,1,1,1,151150
66,1,49,1,1,1,1,151199
216,1,48,1,1,1,1,151150
295,23,41,8,3,3,1,151199
119,1,18,1,1,1,1,113021
94,1,18,1,1,1,2,151121
62,1,34,6,4,5,1,151143
66,1,34,6,4,5,2,15113X
63,1,6,6,4,5,1,15113X
65,1,6,1,1,1,1,151131
60,1,36,6,1,1,2,113021
110,1,11,9,4,4,1,151122
84,1,51,9,4,4,2,151199
101,1,8,1,1,1,1,113021
104,1,42,1,1,1,1,151142
62,1,6,6,1,1,1,113021
58,1,6,6,1,1,2,15113X
62,1,33,6,4,4,1,113021
65,1,8,1,7,5,1,151121
75,1,53,1,1,1,1,151143
83,1,51,6,4,5,1,15113X
74,1,6,1,1,1,1,151131
93,1,37,1,1,1,2,113021
59,1,6,1,1,1,1,172061
