"","PWGTP","SEX","RAC1P","POWSP","HISP","SOCP"
"244","220","1","1","48","2","151199"
"245","185","1","1","27","1","172070"
"246","69","1","1","51","1","151131"
"247","98","1","1","17","1","151150"
"248","25","1","1","6","1","151121"
"249","355","1","1","17","1","15113X"
"250","123","1","1","31","1","151150"
"251","247","2","1","19","1","15113X"
"252","64","1","6","6","1","15113X"
"253","61","2","6","6","1","15113X"
"254","68","1","1","6","1","15113X"
"255","131","1","1","42","1","151199"
"256","82","1","1","26","1","172070"
"257","74","1","9","6","1","151131"
"258","146","1","1","51","1","151142"
"259","65","1","1","48","1","151199"
"260","258","1","1","36","1","172070"
"261","313","1","1","34","1","151142"
"262","58","1","1","36","1","151134"
"263","102","2","1","6","1","151134"
"264","63","1","1","6","2","151150"
"265","52","1","1","6","1","15113X"
"266","75","1","6","25","1","15113X"
"267","86","2","1","29","1","151121"
"268","87","1","1","1","1","151150"
"269","47","1","2","12","1","151143"
"270","222","2","1","8","1","151121"
"271","66","1","1","25","1","151134"
"272","106","1","1","6","1","151150"
"273","114","2","9","1","1","151150"
"274","61","1","1","48","1","15113X"
"275","152","1","1","23","1","151121"
"276","52","1","1","48","24","151199"
"277","110","1","1","13","1","151121"
"278","100","2","1","11","1","15113X"
"279","86","1","1","12","24","151121"
"280","33","1","1","22","1","151150"
"281","100","2","1","26","1","151121"
"282","81","1","1","49","1","151199"
"283","68","1","1","37","1","151143"
"284","88","2","1","55","1","151199"
"285","107","1","1","11","1","151199"
"286","139","1","1","24","1","15113X"
"287","101","1","6","41","1","151199"
"288","53","2","6","41","1","151199"
"289","77","1","1","48","2","151121"
"290","449","1","6","12","1","151131"
"291","385","2","6","12","1","15113X"
"292","84","1","6","6","1","15113X"
"293","61","1","6","6","1","15113X"
"294","85","2","1","5","1","151142"
"295","132","2","6","6","1","15113X"
"296","147","1","6","6","1","15113X"
"297","90","1","1","16","1","15113X"
"298","67","2","1","25","1","151134"
"299","86","2","1","36","1","151199"
"300","272","1","2","48","1","151150"
"301","75","1","1","42","1","15113X"
"302","75","2","1","41","1","172070"
"303","69","1","1","48","1","151121"
"304","180","2","1","47","1","151199"
"305","28","1","2","12","1","151150"
"306","64","1","6","6","1","15113X"
"307","309","1","1","12","1","151121"
"308","52","2","6","6","1","151199"
"309","56","2","2","11","1","15113X"
"310","226","1","1","6","2","15113X"
"311","106","1","1","24","1","151121"
"312","408","1","1","6","1","151121"
"313","73","2","6","17","1","151131"
"314","82","1","1","53","1","151121"
"315","60","1","1","39","1","151199"
"316","71","1","1","19","1","15113X"
"317","140","1","1","25","8","151199"
"318","116","1","6","6","1","15113X"
"319","109","1","6","49","1","15113X"
"320","134","2","6","49","1","151121"
"321","75","1","1","37","1","151199"
"322","78","1","1","48","1","15113X"
"323","164","1","1","1","1","151131"
"324","57","1","1","12","1","151131"
"325","83","1","1","15","1","151199"
"326","102","2","6","48","1","15113X"
"327","55","1","1","48","1","151131"
"328","49","2","1","37","1","151142"
"329","177","2","1","13","1","151121"
"330","51","2","2","39","1","151199"
"331","319","1","1","37","1","172070"
"332","49","1","1","6","1","151150"
"333","81","1","1","18","1","151150"
"334","71","1","1","48","1","151121"
"335","59","1","1","12","1","172070"
"336","237","1","9","51","1","151199"
"337","94","1","6","6","1","172070"
"338","360","1","6","27","1","151131"
"339","122","2","6","27","1","15113X"
"340","74","1","1","4","1","172070"
"341","110","1","1","29","1","151143"
"342","67","1","1","36","1","15113X"
"343","113","1","1","32","1","151141"
"344","140","2","1","18","1","151142"
"345","143","1","1","42","1","172070"
"346","54","1","1","42","1","151199"
"347","32","1","2","37","1","151121"
"348","65","2","2","13","1","151134"
"349","69","1","1","25","1","15113X"
"350","269","2","1","8","2","151199"
"351","54","1","1","25","1","151131"
"352","73","2","1","17","1","15113X"
"353","112","1","1","44","1","15113X"
"354","111","1","1","51","1","151121"
"355","42","1","1","12","1","151150"
"356","142","1","6","6","1","151131"
"357","235","1","1","12","1","151134"
"358","74","2","1","6","1","151150"
"359","67","2","1","47","1","151122"
"360","67","1","1","51","1","15113X"
"361","60","1","6","25","1","151131"
"362","112","2","1","24","1","15113X"
"363","58","1","1","51","1","151150"
"364","51","1","1","21","1","151121"
"365","58","1","6","13","1","151121"
"366","88","2","1","37","1","151199"
"367","71","2","1","8","1","151121"
"368","59","1","1","37","1","151131"
"369","91","2","6","53","1","151131"
"370","127","2","2","17","1","151199"
"371","72","1","6","36","1","151150"
"372","114","1","1","42","1","151150"
"373","148","1","6","53","1","15113X"
"374","106","2","6","53","1","15113X"
"375","67","1","1","24","1","15113X"
"376","62","2","1","24","2","151150"
"377","66","1","1","6","1","15113X"
"378","165","1","1","48","1","151150"
"379","79","1","1","24","1","151150"
"380","158","1","1","36","1","151131"
"381","231","2","1","4","1","151121"
"382","67","1","1","42","1","151131"
"383","54","2","6","51","1","15113X"
"384","71","2","2","22","1","151141"
"385","126","1","1","37","1","172070"
"386","96","1","1","15","1","151121"
"387","156","1","6","51","1","15113X"
"388","72","1","6","6","1","15113X"
"389","83","1","1","27","1","151134"
"390","77","1","1","42","1","15113X"
"391","59","1","1","25","1","151121"
"392","250","1","1","53","1","151131"
"393","72","2","1","1","3","151150"
"394","68","1","1","24","1","151121"
"395","119","2","1","12","16","15113X"
"396","77","1","1","36","1","151142"
"397","97","2","1","23","1","151121"
"398","57","1","1","6","1","15113X"
"399","63","1","6","6","1","151121"
"400","63","1","1","41","1","15113X"
"401","83","1","1","21","1","151121"
"402","10","2","1","17","1","151199"
"403","44","2","2","37","1","151121"
"404","121","1","1","51","1","151131"
"405","60","1","1","26","1","151121"
"406","144","1","1","36","14","151131"
"407","67","1","6","6","1","15113X"
"408","183","1","1","37","1","151150"
"409","13","1","1","35","24","151199"
"410","137","1","1","53","1","151150"
"411","87","1","1","51","1","151142"
"412","117","1","1","6","1","151134"
"413","40","1","1","13","1","151121"
"414","102","2","1","37","1","151150"
"415","157","1","6","25","1","151199"
"416","98","1","6","34","1","151150"
"417","59","1","1","51","1","151199"
"418","36","2","1","8","1","151141"
"419","134","1","1","34","1","151150"
"420","46","2","1","13","1","151199"
"421","31","2","1","42","1","151131"
"422","72","1","1","48","1","151199"
"423","129","1","1","18","1","151131"
"424","54","1","1","45","1","151199"
"425","54","1","6","6","1","151121"
"426","205","2","6","6","1","15113X"
"427","142","1","6","53","1","15113X"
"428","158","1","1","45","1","15113X"
"429","95","1","2","4","1","15113X"
"430","166","2","1","26","1","151134"
"431","29","1","1","53","1","151131"
"432","31","2","1","19","1","15113X"
"433","331","2","1","39","1","151134"
"434","83","1","1","25","1","151121"
"435","83","1","1","36","1","15113X"
"436","76","1","1","37","1","151199"
"437","174","2","1","27","1","151199"
"438","60","1","1","51","1","151134"
"439","121","1","1","27","1","151121"
"440","105","2","1","8","1","151150"
"441","126","1","1","26","1","151150"
"442","64","2","6","4","1","151150"
"443","110","1","1","1","1","151131"
"444","78","1","2","25","1","151131"
"445","78","1","1","24","1","151150"
"446","86","1","1","36","1","15113X"
"447","76","1","1","48","1","151150"
"448","113","1","1","37","1","151199"
"449","48","1","6","6","1","151142"
"450","56","1","1","12","1","15113X"
"451","67","2","1","13","1","151121"
"452","60","1","1","13","1","15113X"
"453","173","2","1","42","1","151199"
"454","36","1","1","48","2","151199"
"455","124","1","1","36","1","151142"
"456","148","1","6","48","1","151121"
"457","113","2","6","6","1","151121"
"458","109","1","1","39","1","151121"
"459","82","2","1","8","16","151121"
"460","35","1","1","54","1","151131"
"461","90","2","1","17","1","151121"
"462","130","1","6","37","1","15113X"
"463","86","1","1","25","1","151121"
"464","245","2","1","36","1","151134"
"465","68","1","1","6","1","151150"
"466","85","1","1","19","1","151199"
"467","87","1","1","51","23","15113X"
"468","16","1","1","42","1","15113X"
"469","116","1","1","6","1","15113X"
"470","107","1","1","55","1","151199"
"471","80","1","1","13","1","151143"
"472","139","1","1","53","1","151150"
"473","70","2","1","13","1","151199"
"474","99","1","1","36","1","15113X"
"475","91","1","1","17","1","151150"
"476","216","1","1","29","1","151199"
"477","192","1","9","37","1","15113X"
"478","170","1","1","39","1","15113X"
"479","44","1","1","42","1","15113X"
"480","40","1","1","55","1","151131"
"481","67","2","1","9","1","151150"
"482","72","1","1","37","1","151150"
"483","156","1","1","45","1","151134"
"484","104","1","1","24","1","151121"
"485","197","2","2","11","1","151150"
"486","23","2","6","6","1","151199"
"487","101","1","1","17","1","151121"
"488","106","2","1","13","1","151131"
"489","19","1","1","10","24","151150"
"490","117","1","1","45","1","151199"
"491","36","1","1","53","1","151142"
"492","79","2","1","47","1","151150"
"493","109","1","1","17","1","151199"
"494","106","1","1","26","1","151121"
"495","29","1","1","26","1","151150"
"496","76","1","1","6","1","151150"
"497","100","1","1","17","2","151199"
"498","199","1","1","2","1","15113X"
"499","56","1","1","4","1","151131"
"500","63","1","6","6","1","15113X"
"501","50","2","6","6","1","151141"
"502","124","1","1","48","1","151150"
"503","36","1","1","18","1","151131"
"504","31","2","1","1","1","15113X"
"505","52","2","1","6","1","151142"
"506","130","1","1","36","1","151121"
"507","58","1","1","53","1","151199"
"508","156","2","1","13","1","15113X"
"509","59","1","1","16","1","151150"
"510","64","2","1","6","2","151131"
"511","41","2","1","4","1","15113X"
"512","39","1","2","11","1","15113X"
"513","157","1","1","51","1","151150"
"514","24","1","1","36","1","151131"
"515","116","1","1","48","1","172070"
"516","74","1","1","6","2","151121"
"517","118","1","1","27","1","151134"
"518","41","1","1","42","1","151111"
"519","142","2","1","39","1","151131"
"520","150","1","1","53","1","151134"
"521","67","1","6","47","1","15113X"
"522","126","1","6","36","1","15113X"
"523","121","2","2","51","1","15113X"
"524","98","2","6","17","1","15113X"
"525","134","1","1","49","1","151143"
"526","95","2","1","37","1","151121"
"527","101","1","1","36","1","151150"
"528","103","1","1","13","1","172070"
"529","56","1","1","17","1","151199"
"530","279","1","6","42","1","151199"
"531","22","2","6","18","1","151199"
"532","32","1","6","21","1","15113X"
"533","49","2","2","37","1","151199"
"534","81","1","1","36","1","151121"
"535","235","1","1","12","1","151150"
"536","81","1","1","8","1","151150"
"537","65","2","1","42","1","151121"
"538","79","2","1","37","1","151131"
"539","185","1","1","29","1","15113X"
"540","106","1","1","53","1","151131"
"541","180","1","6","48","1","151131"
"542","174","2","1","16","2","151199"
"543","60","1","1","9","1","151121"
"544","3","1","1","18","1","151150"
"545","184","1","1","25","1","15113X"
"546","86","2","1","37","1","151143"
"547","95","2","1","12","1","151199"
"548","137","1","1","6","2","151199"
"549","79","1","2","51","1","151150"
"550","71","2","2","51","1","151121"
"551","85","1","1","36","1","151121"
"552","72","1","1","6","1","151131"
"553","56","1","1","24","1","151142"
"554","57","1","1","51","1","151199"
"555","47","2","1","8","1","15113X"
"556","78","1","6","37","1","15113X"
"557","72","1","6","25","1","15113X"
"558","111","1","1","39","1","15113X"
"559","73","1","2","25","1","172061"
"560","72","1","1","28","1","151199"
"561","125","1","2","5","1","151121"
"562","175","1","1","42","1","151134"
"563","63","2","6","36","1","151131"
"564","281","1","1","48","1","151121"
"565","181","1","1","54","1","172070"
"566","78","1","2","4","1","151142"
"567","97","1","6","51","1","151141"
"568","103","1","1","41","1","151150"
"569","59","2","1","42","1","151121"
"570","81","1","6","6","1","15113X"
"571","65","2","6","34","1","151142"
"572","130","1","1","6","1","15113X"
"573","20","2","1","38","1","151150"
"574","14","1","1","25","1","151131"
"575","112","2","1","37","1","151134"
"576","98","1","1","17","1","15113X"
"577","65","1","1","9","1","15113X"
"578","74","1","1","9","1","15113X"
"579","155","1","1","25","1","172070"
"580","183","1","2","13","1","151141"
"581","94","1","1","6","2","15113X"
"582","120","2","1","25","1","15113X"
"583","83","1","1","53","1","15113X"
"584","35","1","1","34","1","151131"
"585","64","1","1","48","1","151150"
"586","104","1","1","6","1","151143"
"587","101","2","1","4","1","151150"
"588","108","1","1","8","1","172070"
"589","61","1","6","6","1","151142"
"590","17","1","1","36","1","151150"
"591","13","1","1","51","1","151142"
"592","54","1","6","42","1","15113X"
"593","112","1","2","51","1","151150"
"594","117","1","9","6","1","151199"
"595","107","2","9","6","1","151121"
"596","161","1","6","6","1","151150"
"597","141","2","6","6","1","151121"
"598","61","1","1","6","2","151141"
"599","114","1","6","31","1","15113X"
"600","44","2","1","6","1","151143"
"601","46","2","1","6","1","151143"
"602","93","1","1","13","1","151131"
"603","127","1","1","51","1","151142"
"604","99","1","6","34","1","151131"
"605","95","2","1","12","1","151150"
"606","145","1","9","32","1","15113X"
"607","30","1","6","51","1","151143"
"608","26","2","1","39","1","151199"
"609","41","2","1","29","1","151134"
"610","78","2","1","6","1","151134"
"611","82","1","1","29","1","15113X"
"612","56","1","1","36","1","151131"
"613","92","1","1","42","1","15113X"
"614","85","1","1","39","1","151131"
"615","43","1","1","47","1","151150"
"616","50","2","1","53","1","151131"
"617","75","1","1","26","1","151142"
"618","80","2","1","36","1","151131"
"619","184","1","9","13","1","151150"
"620","66","1","1","37","1","15113X"
"621","83","1","1","37","1","151199"
"622","69","2","2","6","1","15113X"
"623","51","1","6","6","1","15113X"
"624","123","1","9","48","1","151131"
"625","326","1","1","39","1","151150"
"626","147","1","1","53","1","15113X"
"627","120","1","1","55","1","151142"
"628","81","1","8","6","2","15113X"
"629","16","2","1","34","1","151121"
"630","70","2","2","22","1","15113X"
"631","113","1","6","6","1","151142"
"632","122","2","1","6","1","151141"
"633","79","1","6","48","1","15113X"
"634","119","1","6","48","1","15113X"
"635","65","1","1","39","1","151199"
"636","120","1","1","39","1","151121"
"637","58","1","1","36","1","151150"
"638","45","1","6","6","1","151121"
"639","94","1","8","32","1","172070"
"640","248","1","2","48","1","151199"
"641","42","2","1","11","1","151150"
"642","56","1","1","12","1","151143"
"643","64","2","1","18","1","151150"
"644","46","1","1","6","1","172070"
"645","132","1","6","36","1","151199"
"646","39","1","1","17","1","151111"
"647","58","1","1","8","1","151121"
"648","112","2","2","51","1","15113X"
"649","117","1","1","8","1","151131"
"650","31","1","1","49","1","151199"
"651","91","1","1","39","1","151121"
"652","409","1","1","48","3","151150"
"653","67","2","1","9","1","151131"
"654","61","2","1","11","1","151150"
"655","61","1","6","51","1","15113X"
"656","65","1","1","4","1","15113X"
