PWGTP,HISP,WAOB,CIT,SEX,POWSP,RAC1P,SOCP
101,1,1,1,1,55,1,151199
230,1,1,1,1,40,9,151199
70,1,1,1,1,36,1,151131
37,1,1,1,1,9,1,151199
212,1,4,5,1,35,9,151199
76,4,3,4,1,12,1,15113X
62,1,1,1,1,36,1,151131
79,1,1,1,2,9,1,113021
69,1,1,1,1,6,6,151199
99,1,1,1,2,27,1,15113X
105,1,1,1,1,16,1,15113X
85,1,1,1,1,20,1,113021
71,1,6,4,1,42,1,151142
95,1,1,1,1,34,1,113021
68,1,5,4,1,36,2,151122
31,1,5,5,1,48,6,151131
37,1,1,1,2,48,6,151121
28,1,1,1,2,29,1,172061
112,1,1,1,1,26,1,151121
92,1,1,1,1,6,6,151121
64,1,1,1,2,6,1,151134
111,1,1,1,1,48,1,151143
101,1,1,1,1,13,1,113021
70,1,1,1,1,27,1,151131
105,19,1,1,2,6,1,151131
48,1,1,1,1,34,1,113021
283,1,1,1,1,24,1,151150
55,1,1,1,1,32,1,151150
74,1,1,1,1,36,1,151199
71,1,1,1,2,4,1,151199
31,1,1,1,1,48,9,15113X
115,1,1,1,1,29,1,15113X
43,1,1,1,2,6,1,151199
81,1,1,1,1,6,1,15113X
113,1,1,1,2,13,1,15113X
99,1,1,1,1,25,1,113021
256,1,4,5,1,34,6,15113X
86,1,1,1,1,6,1,172061
43,1,4,4,1,6,6,151150
84,1,1,1,1,12,1,113021
113,1,1,1,1,41,1,15113X
84,1,4,5,2,13,6,151131
86,1,4,5,1,13,6,113021
62,1,1,1,1,13,1,151150
110,1,1,1,1,18,2,151199
65,1,4,4,2,51,6,151131
102,1,4,4,1,41,6,172061
70,1,4,4,1,6,6,113021
82,1,5,3,1,53,6,15113X
70,1,1,1,1,6,1,15113X
94,1,5,5,1,17,1,151199
119,1,1,1,1,55,1,113021
54,1,1,1,1,48,1,151121
72,2,1,1,1,51,1,151199
102,1,1,1,1,48,1,113021
233,1,4,3,1,24,6,151150
375,1,1,1,2,13,1,151134
73,1,1,1,1,4,1,151121
131,1,4,5,2,36,6,151150
59,1,1,1,1,6,6,15113X
67,1,1,1,1,6,6,151121
91,2,1,1,1,8,1,113021
37,1,1,1,1,51,9,151141
81,1,1,1,1,26,1,151142
233,1,5,3,1,17,1,151150
63,1,1,1,1,6,6,113021
93,3,1,1,1,8,8,151150
86,1,1,1,2,12,1,15113X
226,1,1,1,1,6,1,113021
122,1,5,5,1,36,1,151143
156,6,1,1,1,34,8,151199
154,1,1,1,1,15,2,151199
57,1,1,1,1,15,9,151150
115,1,1,1,1,17,1,151142
90,1,1,1,1,6,1,151199
91,1,1,1,1,25,1,172061
147,1,1,1,1,29,1,151134
160,3,1,1,1,12,1,151134
160,1,1,1,2,12,1,151134
143,1,1,1,1,34,1,151199
63,1,1,1,1,20,1,15113X
110,1,1,1,1,6,6,151150
75,1,1,1,2,48,1,151121
64,1,1,1,1,24,1,151150
155,1,1,1,1,12,1,151143
140,1,1,1,1,6,2,151199
65,1,4,5,1,42,6,151131
67,1,4,4,1,13,6,151121
52,1,1,1,1,39,1,151121
129,1,1,1,1,39,1,151142
82,1,1,1,1,17,6,151199
147,9,3,4,1,47,1,151143
154,1,4,4,2,6,6,151199
39,1,1,1,2,36,2,151121
148,1,1,1,1,34,1,113021
73,5,1,1,1,36,1,151199
417,1,1,1,1,15,6,151131
91,1,1,1,2,1,1,113021
61,1,7,5,1,8,1,151121
132,1,1,1,1,39,1,151122
15,1,1,1,1,49,1,151121
53,1,1,1,1,11,1,15113X
184,1,1,1,1,48,2,113021
373,1,4,5,1,13,6,113021
324,1,1,1,1,9,1,151142
435,1,1,1,1,25,1,151142
81,1,1,1,1,48,1,151143
135,1,1,1,1,53,1,15113X
64,1,1,1,1,25,1,15113X
84,1,1,1,2,11,2,15113X
63,1,1,1,2,41,1,151141
18,1,1,1,1,55,1,151199
65,1,1,1,1,6,6,15113X
53,20,3,3,1,48,1,151122
73,1,1,1,2,47,1,113021
143,1,4,4,1,34,6,113021
27,1,1,1,2,24,1,151122
45,1,1,1,2,36,2,151150
63,1,1,1,1,37,1,15113X
33,16,3,5,1,12,1,15113X
175,1,1,1,1,26,1,15113X
163,1,1,1,1,36,1,151121
112,1,1,1,1,51,1,151150
63,1,1,1,1,6,1,151143
77,1,5,5,1,29,1,172061
69,1,1,1,1,41,1,151131
26,1,4,5,1,6,6,151199
69,1,4,5,1,6,6,15113X
94,1,4,5,1,6,6,15113X
113,1,1,1,2,8,1,151150
15,1,1,1,2,17,1,15113X
112,1,1,1,1,17,1,151131
104,1,4,4,1,10,6,151150
88,2,1,1,1,6,1,151121
117,1,1,1,1,48,1,113021
73,1,1,1,1,39,9,151142
73,1,1,1,2,48,1,15113X
34,1,1,1,1,8,1,15113X
80,1,1,1,1,53,1,15113X
104,1,1,1,1,48,1,151142
82,1,1,1,1,11,2,15113X
77,1,4,4,2,36,6,113021
179,1,1,1,2,55,1,113021
77,1,1,1,1,4,1,151122
82,1,1,1,1,49,1,151143
169,1,1,1,1,26,1,151150
76,1,1,1,1,26,1,151142
47,1,4,4,1,6,6,15113X
116,1,1,1,1,34,9,151131
161,23,5,4,2,34,1,113021
68,1,1,1,1,26,1,151199
74,1,1,1,1,6,1,15113X
144,1,1,1,1,4,1,15113X
409,1,1,1,1,48,1,15113X
83,1,4,4,2,6,6,15113X
69,1,1,1,1,53,1,151121
153,1,4,4,1,34,6,15113X
128,1,4,4,1,6,6,15113X
105,1,1,1,2,49,1,15113X
75,1,1,1,2,9,1,151122
109,1,4,4,2,34,6,151141
53,1,5,4,2,17,1,113021
45,2,3,5,1,48,8,151142
74,1,4,5,1,6,6,15113X
88,1,4,5,1,6,6,15113X
42,1,4,4,1,6,6,113021
69,1,4,3,2,34,6,151199
83,1,1,1,1,6,6,151131
104,1,1,1,1,6,6,151150
74,1,1,1,2,48,1,151199
86,1,5,5,1,6,1,15113X
139,1,1,1,1,39,1,151131
35,1,1,1,1,51,1,151199
125,24,3,4,2,36,1,151131
115,1,5,4,2,34,1,151131
188,1,1,1,1,29,1,151199
35,1,4,5,2,37,6,151121
61,1,3,4,2,36,2,151199
118,1,4,5,1,42,6,151131
178,1,1,1,1,17,1,151142
315,1,6,5,1,11,2,151143
565,1,1,1,1,42,1,151143
50,1,1,1,1,51,1,151199
31,1,1,1,1,6,1,15113X
38,1,1,1,1,48,1,113021
72,1,1,1,1,55,9,151150
123,1,1,1,1,53,2,151142
116,1,1,1,1,18,1,151199
31,1,4,5,1,36,6,15113X
33,1,4,5,2,36,6,15113X
56,1,1,1,1,48,2,151150
102,1,1,1,2,6,1,151150
86,1,1,1,1,37,1,151121
121,1,1,1,1,34,1,113021
61,1,1,1,2,24,2,151121
92,1,1,1,2,42,1,15113X
43,1,1,1,1,8,1,151199
95,1,1,1,1,6,1,15113X
356,1,5,4,1,48,1,15113X
66,1,4,4,1,6,6,15113X
25,1,1,1,1,25,1,151150
88,1,1,1,1,26,1,151121
59,1,1,1,1,51,1,151131
31,24,1,1,1,35,1,151199
149,2,1,1,1,6,1,15113X
32,1,4,4,1,54,6,151199
38,1,1,1,1,4,1,151142
52,3,2,2,1,12,1,15113X
103,1,1,1,2,24,1,15113X
109,1,1,1,2,31,1,113021
64,1,1,1,1,47,1,151199
47,1,1,1,2,34,2,113021
76,1,4,4,1,6,9,15113X
143,1,1,1,1,18,1,151121
68,3,1,1,1,36,1,151199
101,1,1,1,1,34,1,151131
60,1,4,5,1,36,6,15113X
137,2,1,1,1,6,9,151143
105,1,1,1,1,41,1,15113X
122,1,1,1,1,36,1,151121
21,1,1,1,1,42,1,113021
132,1,1,1,2,24,1,113021
383,1,1,1,1,37,2,151143
131,1,1,1,1,53,9,113021
63,1,1,1,2,36,1,113021
78,1,4,5,1,53,6,15113X
65,1,1,1,1,36,1,15113X
141,1,1,1,1,41,1,151150
145,1,4,5,1,20,6,151199
56,1,1,1,2,36,1,151150
64,1,1,1,1,12,1,151199
78,1,1,1,1,37,1,151121
110,2,1,1,1,42,1,151150
154,1,1,1,1,27,1,151131
87,1,7,5,2,48,1,113021
103,1,1,1,1,48,1,151143
40,1,1,1,1,8,1,151199
120,1,6,5,1,53,1,15113X
56,1,1,1,1,13,1,151121
133,1,1,1,1,6,1,15113X
108,1,1,1,1,18,1,151111
117,1,1,1,1,37,1,151150
44,1,1,1,1,42,1,15113X
92,1,1,1,1,36,1,151121
112,1,1,1,1,8,1,15113X
69,1,4,4,1,6,6,15113X
413,1,1,1,1,39,1,151150
68,1,1,1,1,36,1,151134
89,1,1,1,1,13,9,151121
51,1,1,1,1,39,1,113021
76,1,1,1,2,25,1,151121
56,1,1,1,2,48,1,15113X
56,1,1,1,1,12,1,15113X
63,1,1,1,1,13,1,15113X
346,1,1,1,1,17,1,15113X
117,1,1,1,1,37,1,151150
51,1,1,1,2,13,1,151150
78,1,1,1,1,6,1,151141
60,1,1,1,1,4,1,113021
109,1,1,1,1,48,1,151121
72,1,1,1,1,8,1,151199
19,1,1,1,1,21,2,151142
172,1,1,1,1,36,1,151142
43,1,1,1,1,4,1,151199
158,1,5,4,1,20,1,151122
133,1,1,1,1,34,1,151199
55,1,1,1,1,12,1,151150
149,2,1,1,1,17,1,151142
98,1,1,1,1,39,1,113021
50,1,4,5,1,6,6,15113X
123,2,3,5,1,25,1,151121
45,1,1,1,1,4,1,15113X
50,1,4,5,1,25,6,15113X
155,23,1,1,1,11,2,151199
87,2,1,1,1,32,8,151199
147,1,1,1,1,33,1,151134
80,1,1,1,2,8,1,151122
61,1,1,1,1,32,1,151131
77,1,5,4,1,6,1,15113X
63,1,1,1,2,13,1,151199
